gps.lat,gps.lon,altitudeAMSL,localPosition.x,localPosition.y,localPosition.z,pressure,temperature,humidity,gas_resistance,distance_to_tower,azimuth,elevation_angle
52.6075037,1.5430779,30100,-70.9,14.6,-18.6,1014.602019,8.515742188,70.318078,646873,0.077290012,346.8640412,-13.86971601
52.607481,1.5431442,30100,-75.5,21.7,-18.6,1014.646278,8.515742188,70.15533895,645649,0.080862013,344.1778565,-12.85499647
52.6074689,1.5431832,30100,-75.5,21.7,-18.6,1014.725575,8.509101563,70.10697895,647486,0.082907742,342.6787705,-12.85499647
52.6074565,1.5432232,30200,-79.4,29.1,-18.7,1014.781073,8.505585938,70.18782772,645039,0.08506114,341.2168207,-12.06215134
52.6074397,1.5432742,30200,-79.4,29.1,-18.7,1014.796298,8.5065625,70.20152162,639600,0.087985967,339.4833005,-12.06215134
52.6074218,1.5433267,30200,-83.8,37,-18.7,1014.79463,8.5096875,70.22907431,645649,0.091138138,337.8325102,-11.18350522
52.6073977,1.5433991,30200,-83.8,37,-18.7,1014.785649,8.524921875,70.03463443,645649,0.095540522,335.7208369,-11.18350522
52.6073977,1.5433991,30200,-83.8,37,-18.7,1014.7507,8.520234375,70.08818861,644430,0.095540522,335.7208369,-11.18350522
52.6073863,1.5434319,30200,-83.8,37,-18.7,1014.729759,8.521992188,70.00036057,649334,0.097623511,334.8407473,-11.18350522
52.6073775,1.5434568,30300,-87.4,43.6,-18.8,1014.719538,8.511640625,70.22934459,646873,0.099234257,334.2014617,-10.57673536
52.6073748,1.5434621,30300,-87.4,43.6,-18.8,1014.720277,8.511054688,70.26316888,647486,0.099661396,334.0912045,-10.57673536
52.6073806,1.5434378,30300,-87.5,43.1,-18.8,1014.727304,8.501875,69.97726458,648717,0.098367679,334.7875964,-10.58966262
52.6073962,1.5433811,30300,-87.5,43.1,-18.8,1014.723708,8.503828125,69.98430674,645039,0.095197492,336.4297726,-10.58966262
52.607409,1.5433316,30200,-84.2,35.7,-18.7,1014.721164,8.495039063,69.96954882,644430,0.092582563,337.9753888,-11.19794324
52.607409,1.5433316,30200,-84.2,35.7,-18.7,1014.721347,8.482734375,69.97462308,644430,0.092582563,337.9753888,-11.19794324
52.6074235,1.5432801,30200,-84.2,35.7,-18.7,1014.716527,8.479804688,69.97421883,645649,0.089814585,339.6482001,-11.19794324
52.6074366,1.5432396,30100,-80.2,27.8,-18.6,1014.71294,8.492109375,69.97591678,648717,0.087516293,340.9966631,-11.95105224
52.6074543,1.5431895,30100,-80.2,27.8,-18.6,1014.716092,8.498164063,69.98352492,649952,0.084585784,342.7311377,-11.95105224
52.6074784,1.5431189,30100,-80.2,27.8,-18.6,1014.715491,8.51125,69.99887724,653686,0.080690441,345.4021375,-11.95105224
52.6074915,1.5430785,30100,-75.7,19.9,-18.6,1014.709516,8.5096875,70.01220829,656831,0.078621642,347.0601355,-12.89358323
52.6074915,1.5430785,30100,-75.7,19.9,-18.6,1014.710097,8.514179688,70.27038325,651814,0.078621642,347.0601355,-12.89358323
52.6075096,1.5430288,30100,-75.7,19.9,-18.6,1014.712511,8.520820313,70.23739579,654940,0.075955861,349.1896724,-12.89358323
52.6075289,1.5429792,30100,-71.1,12.2,-18.6,1014.716626,8.527460938,70.24509604,653686,0.073272016,351.4498125,-13.90548946
52.6075433,1.5429375,30100,-71.1,12.2,-18.6,1014.702235,8.524921875,70.04818365,656199,0.071312245,353.4977747,-13.90548946
52.6075665,1.5428643,30100,-66.8,4.1,-18.6,1014.715888,8.528046875,70.43513335,649952,0.068341602,357.376013,-14.88821613
52.6075833,1.5428134,30100,-66.8,4.1,-18.6,1014.688842,8.52609375,70.37378678,654313,0.066400835,0.268224014,-14.88821613
52.6075968,1.5427733,30100,-66.8,4.1,-18.6,1014.664846,8.520820313,70.2713027,652437,0.064968447,2.664868095,-14.88821613
52.6075968,1.5427733,30100,-66.8,4.1,-18.6,1014.650675,8.509101563,70.22221281,652437,0.064968447,2.664868095,-14.88821613
52.6076135,1.5427223,30000,-62.4,-3.8,-18.5,1014.641199,8.508515625,70.23569275,656831,0.063371971,5.857259188,-15.74414268
52.6076269,1.5426804,30000,-62.4,-3.8,-18.5,1014.642868,8.505390625,70.25560335,653061,0.062250222,8.590964739,-15.74414268
52.6076503,1.5426053,30200,-58.2,-11.8,-18.6,1014.646402,8.507539063,70.26946389,653686,0.060680039,13.70385198,-16.55710434
52.6076665,1.5425514,30200,-58.2,-11.8,-18.6,1014.642738,8.503242188,70.21462192,653061,0.059927922,17.49899909,-16.55710434
52.6076803,1.5425095,30200,-54,-20,-18.7,1014.630992,8.518867188,70.1964444,658097,0.059403703,20.55130087,-17.08505855
52.6076982,1.5424579,30200,-54,-20,-18.7,1014.621612,8.517304688,70.21656773,660006,0.058903073,24.41191047,-17.08505855
52.6076982,1.5424579,30200,-54,-20,-18.7,1014.622389,8.530195313,70.32008026,656831,0.058903073,24.41191047,-17.08505855
52.6077119,1.5424168,30200,-49.5,-27.9,-18.7,1014.611307,8.528632813,70.26560263,660645,0.058753879,27.49575213,-17.27237055
52.6077347,1.5423433,30200,-49.5,-27.9,-18.7,1014.611696,8.535078125,70.23936955,661926,0.059072696,32.91717324,-17.27237055
52.6077531,1.5422925,30200,-49.5,-27.9,-18.7,1014.625506,8.533125,70.2323183,666449,0.059363572,36.77878428,-17.27237055
52.6077712,1.5422405,30300,-45.2,-36,-18.8,1014.634852,8.5315625,70.22532138,663212,0.059999542,40.6249466,-17.09038021
52.6077842,1.5421986,30300,-45.2,-36,-18.8,1014.636938,8.52765625,70.22478069,663212,0.060832315,43.54084627,-17.09038021
52.6077842,1.5421986,30300,-45.2,-36,-18.8,1014.633658,8.519453125,70.21686504,660645,0.060832315,43.54084627,-17.09038021
52.6077971,1.5421557,30300,-40.9,-44,-18.8,1014.629994,8.51515625,70.22305067,658097,0.061875015,46.4073536,-16.50045753
52.6078235,1.5420713,30300,-40.9,-44,-18.8,1014.619972,8.513203125,70.23634149,663212,0.064284876,51.8251348,-16.50045753
