Method,Test Size,MAE,,,,MAEt,,,,MAEu,,,,MAEe,,,,MAEi,,,,MAEk
Transformer,0.2,1.564467425,,,,,,,,,,,,,,,,,,,,
IDW,0.3,0.960551466,,,,,,,,,,,,,,,,,,,,
Kriging,0.3,2.707830509,,,,,,,,,,,,,,,,,,,,
Ensemble,0.3,1.369712149,,,,,,,,,,,,,,,,,,,,
U-Net,0.3,64.14717177,,,,,,,,,,,,,,,,,,,,
Transformer,0.3,1.992268442,,,,,,,,,,,,,,,,,,,,
IDW,0.4,1.0952899,,,,,,,,,,,,,,,,,,,,
Kriging,0.4,3.166547564,,,,,,,,,,,,,,,,,,,,
Ensemble,0.4,1.571718925,,,,,,,,,,,,,,,,,,,,
U-Net,0.4,63.09032286,,,,,,,,,,,,,,,,,,,,
Transformer,0.4,1.778039847,,,,,,,,,,,,,,,,,,,,
IDW,0.5,1.293537736,,,,,,,,,,,,,,,,,,,,
Kriging,0.5,3.896805688,,,,,,,,,,,,,,,,,,,,
Ensemble,0.5,1.654028644,,,,,,,,,,,,,,,,,,,,
U-Net,0.5,63.99984162,,,,,,,,,,,,,,,,,,,,
Transformer,0.5,1.482095775,,,,,,,,,,,,,,,,,,,,
IDW,0.1,1.205403493,,,,,,,,,,,,,,,,,,,,
Kriging,0.1,3.41571995,,,,,,,,,,,,,,,,,,,,
Ensemble,0.1,1.313252836,,,,,,,,,,,,,,,,,,,,
U-Net,0.1,65.42792035,,,,,,,,,,,,,,,,,,,,
Transformer,0.1,1.678571633,,,,,,,,,,,,,,,,,,,,
IDW,0.2,0.701007456,,,,,,,,,,,,,,,,,,,,
Kriging,0.2,3.834190869,,,,,,,,,,,,,,,,,,,,
Ensemble,0.2,1.265923742,,,,,,,,,,,,,,,,,,,,
U-Net,0.2,63.22815182,,,,,,,,,,,,,,,,,,,,
Transformer,0.2,1.449991696,,,,,,,,,,,,,,,,,,,,
IDW,0.3,0.773573128,,,,,,,,,,,,,,,,,,,,
Kriging,0.3,3.859885166,,,,,,,,,,,,,,,,,,,,
Ensemble,0.3,1.380847261,,,,,,,,,,,,,,,,,,,,
U-Net,0.3,64.9357763,,,,,,,,,,,,,,,,,,,,
Transformer,0.3,1.857841082,,,,,,,,,,,,,,,,,,,,
IDW,0.4,1.095906854,,,,,,,,,,,,,,,,,,,,
Kriging,0.4,2.638636921,,,,,,,,,,,,,,,,,,,,
Ensemble,0.4,1.49237306,,,,,,,,,,,,,,,,,,,,
U-Net,0.4,63.6155571,,,,,,,,,,,,,,,,,,,,
Transformer,0.4,1.684390136,,,,,,,,,,,,,,,,,,,,
IDW,0.5,1.582089315,,,,,,,,,,,,,,,,,,,,
Kriging,0.5,3.634572352,,,,,,,,,,,,,,,,,,,,
Ensemble,0.5,1.711837201,,,,,,,,,,,,,,,,,,,,
U-Net,0.5,64.77794903,,,,,,,,,,,,,,,,,,,,
Transformer,0.5,1.923856454,,,,,,,,,,,,,,,,,,,,
IDW,0.1,0.69408704,,,,,,,,,,,,,,,,,,,,
Kriging,0.1,3.606824681,,,,,,,,,,,,,,,,,,,,
Ensemble,0.1,1.209081479,,,,,,,,,,,,,,,,,,,,
U-Net,0.1,67.28370161,,,,,,,,,,,,,,,,,,,,
Transformer,0.1,1.413971753,,,,,,,,,,,,,,,,,,,,
IDW,0.2,1.152056288,,,,,,,,,,,,,,,,,,,,
